Complaint_ID,City,Latitude,Longitude,Complaint_Text,Fault_Type,Severity,Temperature_C,Hospitals_Nearby,Outage_Duration_Hrs
IRQ-KGL-10000,النجف,32.05881495017459,44.388519017036714,انقطاع مفاجئ للتيار الكهربائي عن المنطقة بالكامل منذ ساعات,عطل شبكة رئيسية,عالي,42,2,28
IRQ-KGL-10001,كربلاء,32.600289032435995,43.99734356039457,انقطاع مفاجئ للتيار الكهربائي عن المنطقة بالكامل منذ ساعات,عطل شبكة رئيسية,عالي,30,3,2
IRQ-KGL-10002,كربلاء,32.619352983767484,43.98969595815976,انقطاع مجدول حسب جدول التشغيل اليومي المعلن,صيانة مجدولة,منخفض,36,2,13
IRQ-KGL-10003,بابل,32.3854490308223,44.48587409316549,انقطاع مجدول حسب جدول التشغيل اليومي المعلن,صيانة مجدولة,منخفض,37,1,36
IRQ-KGL-10004,بابل,32.52494626110067,44.49348171046848,انقطاع مفاجئ للتيار الكهربائي عن المنطقة بالكامل منذ ساعات,عطل شبكة رئيسية,عالي,37,0,18
IRQ-KGL-10005,ذي قار,31.040971880658166,46.32333855578553,انقطاع مفاجئ للتيار الكهربائي عن المنطقة بالكامل منذ ساعات,عطل شبكة رئيسية,عالي,34,1,3
IRQ-KGL-10006,ذي قار,31.01234927664385,46.310417817864824,تذبذب قوي في الفولتية وانخفاض الإضاءة واحتراق الأجهزة,تذبذب فولتية,متوسط,24,3,31
IRQ-KGL-10007,كربلاء,32.65010233646237,43.98970183502803,انفجار جوزة الكهرباء الرئيسية بالشارع العام,انفجار جوزة,عالي جداً,32,2,1
IRQ-KGL-10008,بغداد,33.39220356248561,44.308782321927595,انقطاع مجدول حسب جدول التشغيل اليومي المعلن,صيانة مجدولة,منخفض,34,0,33
IRQ-KGL-10009,بابل,32.44991275255262,44.484344515337675,سقوط أسلاك كهربائية على الأرض في الشارع المزدحم,سقوط أسلاك,عالي جداً,23,4,10
IRQ-KGL-10010,بابل,32.43577555677678,44.457318099571395,احتراق الكيبل الرئيسي المغذي للعمارة السكنية,حرق كيبل,عالي,34,4,27
IRQ-KGL-10011,البصرة,30.497069429535642,47.75494580809605,تذبذب قوي في الفولتية وانخفاض الإضاءة واحتراق الأجهزة,تذبذب فولتية,متوسط,44,2,36
IRQ-KGL-10012,بابل,32.50963168524636,44.36006795231559,عطل في المولد الفرعي للمحلة وانقطاع الخط المساعد,عطل فرعي,متوسط,41,1,12
IRQ-KGL-10013,البصرة,30.526593813028498,47.78037219560757,احتراق الكيبل الرئيسي المغذي للعمارة السكنية,حرق كيبل,عالي,41,2,7
IRQ-KGL-10014,البصرة,30.587475369476067,47.79457441046601,انقطاع مجدول حسب جدول التشغيل اليومي المعلن,صيانة مجدولة,منخفض,36,4,21
IRQ-KGL-10015,النجف,32.06969311410821,44.2827282054255,انقطاع مفاجئ للتيار الكهربائي عن المنطقة بالكامل منذ ساعات,عطل شبكة رئيسية,عالي,22,1,10
IRQ-KGL-10016,بغداد,33.35865076094265,44.311965048418884,سقوط أسلاك كهربائية على الأرض في الشارع المزدحم,سقوط أسلاك,عالي جداً,24,0,16
IRQ-KGL-10017,كربلاء,32.568297590368395,44.101894155669996,انفجار جوزة الكهرباء الرئيسية بالشارع العام,انفجار جوزة,عالي جداً,24,2,4
IRQ-KGL-10018,بغداد,33.3192852974067,44.28837141991898,انقطاع مجدول حسب جدول التشغيل اليومي المعلن,صيانة مجدولة,منخفض,52,1,35
IRQ-KGL-10019,بغداد,33.280943917579265,44.38065385711916,حرق محولة بالحي ورائحة دخان متصاعدة في الشارع,حرق محولة,عالي جداً,51,2,34
IRQ-KGL-10020,بغداد,33.36198991194146,44.37127279287616,عطل في المولد الفرعي للمحلة وانقطاع الخط المساعد,عطل فرعي,متوسط,28,3,26
IRQ-KGL-10021,كركوك,35.497989461681755,44.328348923128935,احتراق الكيبل الرئيسي المغذي للعمارة السكنية,حرق كيبل,عالي,41,1,22
IRQ-KGL-10022,كركوك,35.453484790665584,44.33964892955299,احتراق الكيبل الرئيسي المغذي للعمارة السكنية,حرق كيبل,عالي,26,1,19
IRQ-KGL-10023,بابل,32.44317913203476,44.42511098284036,انفجار جوزة الكهرباء الرئيسية بالشارع العام,انفجار جوزة,عالي جداً,48,1,36
IRQ-KGL-10024,كركوك,35.48685339773595,44.34576361331637,انفجار جوزة الكهرباء الرئيسية بالشارع العام,انفجار جوزة,عالي جداً,41,2,12
IRQ-KGL-10025,البصرة,30.544211756736285,47.86264017116408,انفجار جوزة الكهرباء الرئيسية بالشارع العام,انفجار جوزة,عالي جداً,41,4,23
IRQ-KGL-10026,كركوك,35.45246962470935,44.34102832986685,سقوط أسلاك كهربائية على الأرض في الشارع المزدحم,سقوط أسلاك,عالي جداً,36,4,3
IRQ-KGL-10027,بغداد,33.33495129418518,44.37342679412169,انقطاع مجدول حسب جدول التشغيل اليومي المعلن,صيانة مجدولة,منخفض,28,3,5
IRQ-KGL-10028,كربلاء,32.62273755047681,44.00767051257882,تذبذب قوي في الفولتية وانخفاض الإضاءة واحتراق الأجهزة,تذبذب فولتية,متوسط,44,0,6
IRQ-KGL-10029,ذي قار,31.054537539924308,46.27794744786221,انقطاع مجدول حسب جدول التشغيل اليومي المعلن,صيانة مجدولة,منخفض,25,3,11
IRQ-KGL-10030,كربلاء,32.684488113482395,44.041393192213214,احتراق الكيبل الرئيسي المغذي للعمارة السكنية,حرق كيبل,عالي,24,2,4
IRQ-KGL-10031,النجف,31.96587108427925,44.33867517385926,انفجار جوزة الكهرباء الرئيسية بالشارع العام,انفجار جوزة,عالي جداً,30,4,3
IRQ-KGL-10032,بابل,32.46877456956437,44.362342851760566,حرق محولة بالحي ورائحة دخان متصاعدة في الشارع,حرق محولة,عالي جداً,29,2,7
IRQ-KGL-10033,بغداد,33.25424361875942,44.42846465658919,انفجار جوزة الكهرباء الرئيسية بالشارع العام,انفجار جوزة,عالي جداً,36,2,8
IRQ-KGL-10034,النجف,32.03378550249934,44.38982545309656,احتراق الكيبل الرئيسي المغذي للعمارة السكنية,حرق كيبل,عالي,27,4,25
IRQ-KGL-10035,بابل,32.43963387477936,44.39809045330365,تذبذب قوي في الفولتية وانخفاض الإضاءة واحتراق الأجهزة,تذبذب فولتية,متوسط,22,3,16
IRQ-KGL-10036,النجف,32.103829830994854,44.30993707457219,سقوط أسلاك كهربائية على الأرض في الشارع المزدحم,سقوط أسلاك,عالي جداً,46,2,12
IRQ-KGL-10037,كركوك,35.48483531225942,44.41785208062106,انقطاع مفاجئ للتيار الكهربائي عن المنطقة بالكامل منذ ساعات,عطل شبكة رئيسية,عالي,36,4,8
IRQ-KGL-10038,النجف,32.08186717204419,44.36292483967213,حرق محولة بالحي ورائحة دخان متصاعدة في الشارع,حرق محولة,عالي جداً,24,2,29
IRQ-KGL-10039,البصرة,30.43904162122337,47.7243586734341,حرق محولة بالحي ورائحة دخان متصاعدة في الشارع,حرق محولة,عالي جداً,40,2,35
IRQ-KGL-10040,ذي قار,31.048871517154822,46.178540894366066,عطل في المولد الفرعي للمحلة وانقطاع الخط المساعد,عطل فرعي,متوسط,47,3,1
IRQ-KGL-10041,أربيل,36.243648393803404,44.06236169860093,عطل في المولد الفرعي للمحلة وانقطاع الخط المساعد,عطل فرعي,متوسط,28,2,32
IRQ-KGL-10042,كربلاء,32.64007979283618,44.08789804430999,انفجار جوزة الكهرباء الرئيسية بالشارع العام,انفجار جوزة,عالي جداً,46,1,9
IRQ-KGL-10043,كركوك,35.433369200542344,44.40276494286995,انقطاع مفاجئ للتيار الكهربائي عن المنطقة بالكامل منذ ساعات,عطل شبكة رئيسية,عالي,22,4,28
IRQ-KGL-10044,كربلاء,32.60352532748796,44.07690414845369,انفجار جوزة الكهرباء الرئيسية بالشارع العام,انفجار جوزة,عالي جداً,39,3,34
IRQ-KGL-10045,ذي قار,30.993355045623264,46.18814345323041,انفجار جوزة الكهرباء الرئيسية بالشارع العام,انفجار جوزة,عالي جداً,25,2,13
IRQ-KGL-10046,ذي قار,30.983058865389083,46.20042736007023,انقطاع مجدول حسب جدول التشغيل اليومي المعلن,صيانة مجدولة,منخفض,46,2,30
IRQ-KGL-10047,بابل,32.47729840102283,44.39120270901949,عطل في المولد الفرعي للمحلة وانقطاع الخط المساعد,عطل فرعي,متوسط,45,1,26
IRQ-KGL-10048,النجف,32.008286784167574,44.385009319787244,حرق محولة بالحي ورائحة دخان متصاعدة في الشارع,حرق محولة,عالي جداً,46,3,30
IRQ-KGL-10049,النجف,32.01350253191372,44.40716740723765,حرق محولة بالحي ورائحة دخان متصاعدة في الشارع,حرق محولة,عالي جداً,48,1,35
IRQ-KGL-10050,أربيل,36.23672025681194,43.99194476331714,انقطاع مفاجئ للتيار الكهربائي عن المنطقة بالكامل منذ ساعات,عطل شبكة رئيسية,عالي,40,4,17
IRQ-KGL-10051,بغداد,33.33500830799082,44.3333789498076,احتراق الكيبل الرئيسي المغذي للعمارة السكنية,حرق كيبل,عالي,51,3,18
IRQ-KGL-10052,أربيل,36.144961380250734,44.079791763993015,حرق محولة بالحي ورائحة دخان متصاعدة في الشارع,حرق محولة,عالي جداً,34,3,6
IRQ-KGL-10053,ذي قار,30.98841887748053,46.17747636719281,عطل في المولد الفرعي للمحلة وانقطاع الخط المساعد,عطل فرعي,متوسط,29,0,30
IRQ-KGL-10054,بغداد,33.30849166599859,44.36240597969157,حرق محولة بالحي ورائحة دخان متصاعدة في الشارع,حرق محولة,عالي جداً,24,0,14
IRQ-KGL-10055,النجف,32.004583333486394,44.33478967067744,حرق محولة بالحي ورائحة دخان متصاعدة في الشارع,حرق محولة,عالي جداً,45,0,6
IRQ-KGL-10056,بغداد,33.24259717048273,44.28853461966251,عطل في المولد الفرعي للمحلة وانقطاع الخط المساعد,عطل فرعي,متوسط,47,1,29
IRQ-KGL-10057,كربلاء,32.56110122341908,44.06796867923734,عطل في المولد الفرعي للمحلة وانقطاع الخط المساعد,عطل فرعي,متوسط,47,0,16
IRQ-KGL-10058,كربلاء,32.54146110595281,44.01746130415136,انفجار جوزة الكهرباء الرئيسية بالشارع العام,انفجار جوزة,عالي جداً,46,3,28
IRQ-KGL-10059,بغداد,33.369234158862916,44.34264087797802,احتراق الكيبل الرئيسي المغذي للعمارة السكنية,حرق كيبل,عالي,48,3,36
IRQ-KGL-10060,أربيل,36.1273658252925,43.941079477756226,حرق محولة بالحي ورائحة دخان متصاعدة في الشارع,حرق محولة,عالي جداً,26,3,13
IRQ-KGL-10061,كركوك,35.535353201636866,44.32168094615601,تذبذب قوي في الفولتية وانخفاض الإضاءة واحتراق الأجهزة,تذبذب فولتية,متوسط,35,4,33
IRQ-KGL-10062,كربلاء,32.68296585531769,43.962680155910554,احتراق الكيبل الرئيسي المغذي للعمارة السكنية,حرق كيبل,عالي,43,4,5
IRQ-KGL-10063,البصرة,30.536120611792214,47.83692089926267,تذبذب قوي في الفولتية وانخفاض الإضاءة واحتراق الأجهزة,تذبذب فولتية,متوسط,26,3,14
IRQ-KGL-10064,ذي قار,31.051724776600373,46.33454797139368,انقطاع مفاجئ للتيار الكهربائي عن المنطقة بالكامل منذ ساعات,عطل شبكة رئيسية,عالي,47,0,13
IRQ-KGL-10065,كربلاء,32.57398292067653,44.10481645907351,انقطاع مجدول حسب جدول التشغيل اليومي المعلن,صيانة مجدولة,منخفض,37,3,30
IRQ-KGL-10066,بابل,32.38719535239882,44.3659660988206,سقوط أسلاك كهربائية على الأرض في الشارع المزدحم,سقوط أسلاك,عالي جداً,27,1,36
IRQ-KGL-10067,كربلاء,32.62492000082632,44.09339119530569,عطل في المولد الفرعي للمحلة وانقطاع الخط المساعد,عطل فرعي,متوسط,33,2,22
IRQ-KGL-10068,كركوك,35.54393720291353,44.376277341335495,انقطاع مجدول حسب جدول التشغيل اليومي المعلن,صيانة مجدولة,منخفض,33,0,1
IRQ-KGL-10069,بغداد,33.23936888779387,44.37415684456053,عطل في المولد الفرعي للمحلة وانقطاع الخط المساعد,عطل فرعي,متوسط,45,3,14
IRQ-KGL-10070,كركوك,35.469315762139544,44.46225863736605,انقطاع مفاجئ للتيار الكهربائي عن المنطقة بالكامل منذ ساعات,عطل شبكة رئيسية,عالي,27,2,11
IRQ-KGL-10071,كركوك,35.525556875588,44.458198404570275,انقطاع مفاجئ للتيار الكهربائي عن المنطقة بالكامل منذ ساعات,عطل شبكة رئيسية,عالي,25,3,2
IRQ-KGL-10072,بابل,32.41945395584328,44.43132898034831,حرق محولة بالحي ورائحة دخان متصاعدة في الشارع,حرق محولة,عالي جداً,36,3,24
IRQ-KGL-10073,أربيل,36.200287552183106,43.937978565019236,تذبذب قوي في الفولتية وانخفاض الإضاءة واحتراق الأجهزة,تذبذب فولتية,متوسط,46,0,36
IRQ-KGL-10074,ذي قار,31.082688532573876,46.2793375562483,سقوط أسلاك كهربائية على الأرض في الشارع المزدحم,سقوط أسلاك,عالي جداً,38,2,16
IRQ-KGL-10075,كربلاء,32.56125501914901,44.01504288283532,انقطاع مجدول حسب جدول التشغيل اليومي المعلن,صيانة مجدولة,منخفض,47,2,24
IRQ-KGL-10076,ذي قار,31.127504364140695,46.335476018833674,احتراق الكيبل الرئيسي المغذي للعمارة السكنية,حرق كيبل,عالي,39,3,34
IRQ-KGL-10077,أربيل,36.21871846739727,43.93358280001488,انفجار جوزة الكهرباء الرئيسية بالشارع العام,انفجار جوزة,عالي جداً,34,0,15
IRQ-KGL-10078,كركوك,35.41031685083373,44.319890147274286,حرق محولة بالحي ورائحة دخان متصاعدة في الشارع,حرق محولة,عالي جداً,49,0,3
IRQ-KGL-10079,أربيل,36.25564859524921,44.07848837144475,انقطاع مجدول حسب جدول التشغيل اليومي المعلن,صيانة مجدولة,منخفض,42,2,35
IRQ-KGL-10080,كركوك,35.42772928223907,44.47177760246592,سقوط أسلاك كهربائية على الأرض في الشارع المزدحم,سقوط أسلاك,عالي جداً,22,3,32
IRQ-KGL-10081,النجف,32.005223228976504,44.31154831702845,حرق محولة بالحي ورائحة دخان متصاعدة في الشارع,حرق محولة,عالي جداً,41,0,27
IRQ-KGL-10082,أربيل,36.210659024315774,44.04841879661346,حرق محولة بالحي ورائحة دخان متصاعدة في الشارع,حرق محولة,عالي جداً,25,1,6
IRQ-KGL-10083,بابل,32.44226658339143,44.42514150592402,عطل في المولد الفرعي للمحلة وانقطاع الخط المساعد,عطل فرعي,متوسط,31,4,3
IRQ-KGL-10084,كركوك,35.52016006343261,44.32028492954458,احتراق الكيبل الرئيسي المغذي للعمارة السكنية,حرق كيبل,عالي,49,2,12
IRQ-KGL-10085,بابل,32.385596136964814,44.36083543997127,حرق محولة بالحي ورائحة دخان متصاعدة في الشارع,حرق محولة,عالي جداً,32,1,16
IRQ-KGL-10086,النجف,32.07596562725128,44.38677775258606,احتراق الكيبل الرئيسي المغذي للعمارة السكنية,حرق كيبل,عالي,32,3,6
IRQ-KGL-10087,البصرة,30.501100070612434,47.829233307093965,حرق محولة بالحي ورائحة دخان متصاعدة في الشارع,حرق محولة,عالي جداً,46,1,22
IRQ-KGL-10088,ذي قار,31.09456663925738,46.27793112577011,انفجار جوزة الكهرباء الرئيسية بالشارع العام,انفجار جوزة,عالي جداً,27,0,6
IRQ-KGL-10089,كركوك,35.53822640974524,44.319270036007595,انقطاع مجدول حسب جدول التشغيل اليومي المعلن,صيانة مجدولة,منخفض,43,1,25
IRQ-KGL-10090,البصرة,30.559933500785036,47.8444128718004,سقوط أسلاك كهربائية على الأرض في الشارع المزدحم,سقوط أسلاك,عالي جداً,48,2,34
IRQ-KGL-10091,النجف,31.949254494673784,44.37863101447666,عطل في المولد الفرعي للمحلة وانقطاع الخط المساعد,عطل فرعي,متوسط,40,0,14
IRQ-KGL-10092,كركوك,35.54089614137086,44.369025688866884,عطل في المولد الفرعي للمحلة وانقطاع الخط المساعد,عطل فرعي,متوسط,32,0,5
IRQ-KGL-10093,ذي قار,31.113730882438823,46.21817781930096,تذبذب قوي في الفولتية وانخفاض الإضاءة واحتراق الأجهزة,تذبذب فولتية,متوسط,43,0,3
IRQ-KGL-10094,النجف,32.04359944928739,44.40207044454832,حرق محولة بالحي ورائحة دخان متصاعدة في الشارع,حرق محولة,عالي جداً,51,2,19
IRQ-KGL-10095,بغداد,33.348639784930285,44.324678404372285,عطل في المولد الفرعي للمحلة وانقطاع الخط المساعد,عطل فرعي,متوسط,34,2,16
